0: 53-407
1: 58-249
2: 63-587
3: 83-1991
4: 84-1229
5: 88-1159
6: 131-188
7: 153-138
8: 195-1538
9: 246-1465
10: 282-1249
11: 284-1707
12: 322-112
13: 359-337
14: 401-1663
15: 408-376
16: 414-744
17: 437-1722
18: 441-698
19: 449-355
20: 452-424
21: 452-1529
22: 472-1717
23: 475-893
24: 547-548
25: 560-1433
26: 574-0
27: 588-300
28: 590-494
29: 590-1554
30: 608-1100
31: 617-1159
32: 635-630
33: 636-889
34: 655-1818
35: 663-1595
36: 696-491
37: 717-1063
38: 732-1328
39: 750-864
40: 754-679
41: 773-366
42: 778-1539
43: 781-1070
44: 784-514
45: 788-1312
46: 808-1754
47: 817-807
48: 830-530
49: 844-1043
50: 855-1732
51: 887-209
52: 890-1255
53: 895-1987
54: 934-1
55: 959-859
56: 1006-1662
57: 1040-306
58: 1040-1521
59: 1050-1270
60: 1051-700
61: 1063-1711
62: 1066-1376
63: 1099-333
64: 1100-1368
65: 1119-887
66: 1164-503
67: 1187-669
68: 1191-1452
69: 1205-1091
70: 1214-1474
71: 1230-265
72: 1263-1359
73: 1265-959
74: 1284-922
75: 1289-86
76: 1305-1376
77: 1306-822
78: 1317-54
79: 1323-333
80: 1325-603
81: 1341-1736
82: 1344-592
83: 1348-1900
84: 1358-1348
85: 1361-818
86: 1369-1993
87: 1376-959
88: 1387-1416
89: 1431-764
90: 1431-1802
91: 1458-1099
92: 1473-1949
93: 1495-1970
94: 1507-1437
95: 1528-758
96: 1543-958
97: 1553-45
98: 1559-1288
99: 1560-1678
100: 1579-1284
101: 1606-877
102: 1611-1777
103: 1627-1
104: 1631-318
105: 1658-388
106: 1671-65
107: 1678-795
108: 1766-748
109: 1770-49
110: 1779-1419
111: 1780-1152
112: 1804-235
113: 1830-667
114: 1842-32
115: 1843-1673
116: 1846-956
117: 1864-57
118: 1865-1789
119: 1869-1662
120: 1884-6
121: 1887-1498
122: 1931-317
123: 1941-1987
124: 1953-1946
125: 1956-1637
126: 1964-1751
127: 1991-136
128: 26-585
129: 65-196
130: 86-1140
131: 90-1851
132: 92-298
133: 107-1599
134: 145-1723
135: 196-1538
136: 208-1462
137: 209-1042
138: 260-203
139: 322-1473
140: 333-474
141: 338-209
142: 365-478
143: 408-1665
144: 462-1752
145: 467-804
146: 485-1983
147: 525-1632
148: 528-223
149: 535-72
150: 551-650
151: 565-1990
152: 605-298
153: 664-1712
154: 689-1136
155: 719-414
156: 720-1693
157: 735-996
158: 778-1860
159: 828-345
160: 829-999
161: 834-162
162: 839-1679
163: 856-475
164: 901-111
165: 932-92
166: 933-1035
167: 964-805
168: 975-277
169: 991-1248
170: 1057-1003
171: 1063-450
172: 1130-1841
173: 1161-1590
174: 1165-864
175: 1284-1656
176: 1302-136
177: 1337-213
178: 1397-348
179: 1406-985
180: 1442-786
181: 1468-1508
182: 1552-1685
183: 1553-1246
184: 1635-27
185: 1643-243
186: 1658-1931
187: 1703-455
188: 1709-58
189: 1723-1671
190: 1736-1514
191: 1747-17
192: 1795-1644
193: 1807-1
194: 1810-1404
195: 1842-545
196: 1851-369
197: 1866-1523
198: 1975-110
199: 1984-1049
